runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
1347,A04,0.1,6000000,0.000001,3000,3,1,1,3,1,2,3,0,0,0,0,0,0,0
92,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
136,A12,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
7445,A05,0.2,3000000,0.000001,30000,3,1,1,1,0,1,2,3,4,5,0,0,0,0
16863,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
156,A12,0.24,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
288,A01,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
9222,A11,0.5,500000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
123,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,5,10,15,20,25,30,35,40,45
9741,A06,0.15,180000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
128,A02,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
941,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
16965,A06,0.35,280000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
1314,A06,0.2,3000000,0.000001,3000,30,1,3,10,0,5,10,15,20,25,30,35,40,45
29990,A06,0.2,3000000,0.000001,30000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
193,A06,0.2,3000000,0.000001,3000,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1219,A04,0.2,7632000,0.000001,3000,3,1,1,9,-20,-15,-10,-5,0,5,10,15,20,0
12,A06,0.5,3000000,0.000001,3000,30,1,3,9,50,55,60,65,70,75,80,85,90,0
150,A12,0.34,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
3080,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
6130,A04,0.2,3000000,0.000001,10000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1267,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1022,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
2068,A04,0.2,3000000,0.000001,30000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
272,A05,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
781,A07,0.0588,2080000,0.0000001,10000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
16736,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
241,A06,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
2801,A08,0.2,300000,0.000001,3000,3,1,1,10,2,4,6,8,10,12,14,16,18,20
184,A04,0.2,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
990,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
125,A04,0.2,3000000,0.000001,3000,3,1,1,1,12,0,0,0,0,0,0,0,0,0
141,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,18
27956,A12,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
11738,A06,0.1,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
15522,A06,0.3,240000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
16407,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
13741,A06,0.2,160000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
124,A06,0.2,3000000,0.000001,3000,10,1,5,1,10,25,0,0,0,0,0,0,0,0
23228,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,6,7,8,9,10
167,A02,0.0034,155719,0.000001,3000,30,1,1,1,30,30,0,0,0,0,0,0,0,0
20642,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
17235,A05,0.2,3000000,0.000001,30000,3,1,1,10,0,1,2,3,4,5,6,7,8,9
947,A03,0.5,5000000,0.00001,10000,3,1,1,1,-8,-6,-4,-2,0,2,4,6,8,10
8313,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
11778,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
16740,A06,0.2,3000000,0.000001,30000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
759,A09,0.0588,2080000,0.0000001,10000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
17565,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
9000,A07,0.5,5000000,0.00001,10000,3,1,1,10,-8,-6,-4,-2,0,2,4,6,8,10
191,A03,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
40448,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1395,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
176,A09,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
125,A04,0.2,3000000,0.000001,3000,3,1,1,1,10,0,0,0,0,0,0,0,0,0
29511,A04,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
312,A04,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
1128,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1290,A04,0.2,3000000,0.000001,3000,3,1,5,8,-10,-5,0,5,10,15,20,25,0,0
22978,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
174,A06,0.0034,155719,0.000001,3000,30,1,1,1,-10,-5,0,5,10,15,20,25,30,35
181,A07,0.2,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
206,A06,0.2,3000000,0.000001,3000,3,1,1,1,2,4,6,8,10,12,14,16,18,20
157,A06,0.8,3000000,0.000001,3000,30,1,3,10,5,10,15,20,25,30,35,40,45,50
20662,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
6353,A05,0.2,3000000,0.000001,30000,3,1,1,3,0,10,20,0,0,0,0,0,0,0
12872,A06,0.13,130000,0.00001,60000,10,1,4,10,0,2,4,6,8,10,12,14,16,18
7910,A06,0.1,120000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
13379,A11,0.5,500000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
1702,A04,0.2,3000000,0.000001,3000,60,1,1,9,0,2,4,6,8,10,12,14,16,0
559,A12,0.2,6000000,0.000001,6000,3,1,8,2,1,5,0,0,0,0,0,0,0,0
381,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
269,A02,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
15211,A09,0.5,3300000,0.00001,50000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
2025,A06,0.2,3000000,0.000001,30000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
5695,A04,0.2,3000000,0.000001,3000,3,1,1,10,0,2,4,6,8,10,12,14,16,18
2527,A04,0.2,3000000,0.000001,30000,3,1,1,1,0,1,2,3,4,0,0,0,0,0
5815,A05,0.2,3000000,0.000001,30000,3,1,1,5,0,10,20,30,40,0,0,0,0,0
8058,A05,0.2,3000000,0.000001,30000,3,1,1,1,0,1,2,3,0,0,0,0,0,0
8132,A03,0.5,5000000,0.00001,10000,3,1,1,10,-8,-6,-4,-2,0,2,4,6,8,10
19383,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
120,A04,0.2,3000000,0.000001,3000,3,1,1,1,2,0,0,0,0,0,0,0,0,0
896,A12,0.5,5000000,0.00001,10000,3,1,1,1,-8,-6,-4,-2,0,2,4,6,8,10
146,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
1223,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
3071,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
144,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
733,A07,0.2,3000000,0.000001,3000,3,1,1,5,-10,-5,0,5,10,0,0,0,0,0
28,A04,0.2,3000000,0.000001,100,30,1,1,1,0,0,0,0,0,0,0,0,0,0
217,A05,0.0034,155719,0.000001,3000,30,1,1,1,10,10,10,10,10,10,10,10,10,10
1288,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
157,A04,0.5,3000000,0.000001,3000,3,1,1,1,2,4,6,8,10,12,14,16,18,20
24124,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
217,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
22288,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
125,A04,0.2,3000000,0.000001,3000,3,1,1,1,16,0,0,0,0,0,0,0,0,0
133,A04,0.2,3000000,0.000001,3000,3,1,1,1,14,0,0,0,0,0,0,0,0,0
375,A05,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
18232,A05,0.2,3000000,0.000001,30000,3,1,1,10,0,1,2,3,4,5,0,0,0,0
331,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
7475,A04,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
129,A01,0.2,3000000,0.000001,3000,3,1,5,1,0,0,0,0,0,0,0,0,0,0
1294,A06,0.2,3000000,0.000001,3000,30,1,3,10,16,17,18,19,20,21,22,23,24,25
408,A06,0.2,3100000,0.000001,3000,3,1,1,1,0,0.5,1,2,3,4,5,6,7,10
183,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,5,10,15,20,25,30,35,40,45
6547,A05,0.4,2080000,0.000001,50000,30,1,1,1,0,5,10,15,20,25,30,35,40,45
21508,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1934,A04,0.2,5000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
139,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,5,10,15,20,25,30,35,40,45
326,A01,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
2299,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
942,A04,0.2,3000000,0.000001,3000,3,1,1,5,0,1,2,3,4,5,6,7,8,9
2464,A04,0.2,3000000,0.000001,50000,3,1,1,1,5,6,7,8,9,10,11,12,13,14
24375,A01,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
125,A07,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
464,A04,0.2,3000000,0.000001,3000,3,1,1,1,6,0,0,0,0,0,0,0,0,0
219,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2638,A04,0.2,3000000,0.000001,50000,3,1,1,1,12,0,0,0,0,0,0,0,0,0
20039,A06,0.04,40000,0.00001,50000,60,1,4,10,13,15,17,19,21,23,27.5,32.5,37.5,42.5
302,A06,0.0034,155719,0.000001,3000,30,1,1,1,10,10,10,10,10,10,10,10,10,10
23988,A05,0.2,3000000,0.000001,30000,3,1,1,10,0,1,2,3,4,0,0,0,0,0
138,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
1898,A05,0.2,3000000,0.000001,3000,3,1,1,10,1,2,3,4,5,6,0,0,0,0
175,A09,0.0034,155719,0.000001,3000,30,1,1,1,-10,-5,0,5,10,15,20,25,30,35
8436,A12,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
143,A04,0.2,3000000,0.000001,3000,3,1,1,1,2,0,0,0,0,0,0,0,0,0
399,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
466,A04,0.2,3000000,0.000001,3000,3,1,1,1,-20,10,15,20,0,-10,-5,10,0,0
28689,A04,0.2,3000000,0.000001,30000,3,1,1,10,2,3,4,5,6,7,8,9,10,11
629,A05,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
319,A04,0.2,2700000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
306,A07,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
361,A12,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
992,A06,0.2,3000000,0.000001,3000,30,1,3,7,60,65,70,75,80,85,90,0,0,0
3034,A06,0.2,3000000,0.000001,5000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
528,A03,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
3288,A04,0.2,6000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
2240,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
519,A04,0.2,30,1,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
628,A07,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
15796,A10,0.26,260000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
20164,A10,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
81364,A01,0.2,3000000,0.000001,300000,3,1,1,10,0,2,4,6,8,10,12,14,16,18
171,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
898,A08,0.5,5000000,0.00001,10000,3,1,1,1,-8,-6,-4,-2,0,2,4,6,8,10
19393,A05,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
156,A12,0.32,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
35539,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
347,A09,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
293,A12,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
1214,A04,0.2,3000000,0.000001,3000,3,1,1,10,70,71,72,73,74,75,76,77,78,79
3318,A05,0.2,3000000,0.000001,30000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
7624,A04,0.2,3000000,0.000001,3000,3,1,1,10,0,2,4,6,8,10,12,14,16,18
20374,A01,0.13,130000,0.00001,60000,3,1,4,10,18,20,22,25,28,31,34,37,41,45
9221,A11,0.5,500000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
45692,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
45796,A06,0.04,40000,0.00001,50000,10,5,4,10,3,7,18,20,22,25,30,35,40,45
363,A04,0.2,3000000,0.000001,3000,3,1,1,1,2,0,0,0,0,0,0,0,0,0
171,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
142,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2409,A06,0.2,300000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
300,A03,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
1291,A06,0.2,3000000,0.000001,3000,30,1,3,10,55,55.1,55.2,55.3,55.4,55.5,55.6,55.7,55.8,55.9
45027,A08,0.5,5000000,0.00001,10000,3,1,1,10,-8,-6,-4,-2,0,2,4,6,8,10
355,A06,0.0034,155719,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
30286,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
230,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
144,A12,0.26,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
25875,A06,0.2,3000000,0.000001,30000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
22036,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
590,A06,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
6854,A10,0.065,65000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
30270,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
45,A06,0.0034,155719,0.000001,500,30,1,1,1,30,0,0,0,0,0,0,0,0,0
8589,A05,0.2,3000000,0.000001,30000,3,1,1,2,70,35,0,0,0,0,0,0,0,0
25839,A09,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
275,A08,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
5027,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
239,A01,0.2,3000000,0.000001,3000,3,1,1,1,-2,0,2,4,6,8,10,12,14,16
11769,A06,0.25,200000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
2295,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
172,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
140,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
14853,A10,0.065,65000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
2314,A06,0.2,300000,0.000001,3000,3,1,1,10,2,4,6,8,10,12,14,16,18,20
178,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2316,A04,0.35,3000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
796,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
12441,A10,0.5,500000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
23497,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,6,7,8,9,10
25286,A04,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
2240,A04,0.2,300000,0.000001,3000,3,1,1,10,2,4,6,8,10,12,14,16,18,20
5380,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
22700,A04,0.2,3000000,0.000001,30000,3,1,1,10,2,3,4,5,6,7,8,9,10,11
11414,A04,0.1,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1241,A11,0.5,5000000,0.00001,10000,3,1,1,1,-8,-6,-4,-2,0,2,4,6,8,10
25071,A09,0.2,3000000,0.000001,40000,3,1,1,10,0,2,4,6,8,10,12,14,16,18
143,A04,0.2,3000000,0.000001,3000,3,1,1,1,2,0,0,0,0,0,0,0,0,0
1333,A06,0.3,3000000,0.000001,3000,30,1,3,10,19,20,21,22,23,24,25,26,27,28
2138,A08,0.2,300000,0.000001,3000,3,1,1,10,2,4,6,8,10,12,14,16,18,20
19614,A04,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
24555,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
7143,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
17079,A05,0.2,3000000,0.000001,30000,3,1,1,10,0,1,2,3,4,0,0,0,0,0
593,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
9121,A04,0.2,3000000,0.000001,30000,3,1,1,1,16,0,0,0,0,0,0,0,0,0
1897,A04,0.2,3000000,0.000001,3000,3,1,1,10,0,3,6,9,12,15,18,21,24,27
454,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
1836,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
26,A04,0.2,3000000,0.000001,100,30,1,1,1,1,0,0,0,0,0,0,0,0,0
2229,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
14709,A11,0.13,130000,0.00001,60000,3,1,4,10,18,20,22,25,28,31,34,37,41,45
383,A04,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
6668,A11,0.065,65000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
13026,A06,0.15,120000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
121,A08,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
691,A06,0.2,3000000,0.000001,3000,3,1,1,1,16,0,0,0,0,0,0,0,0,0
1918,A04,0.0588,40166,0.0000001,5000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
181,A01,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
23015,A08,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
6617,A01,0.4,2080000,0.000001,50000,30,1,1,1,0,5,10,15,20,25,30,35,40,45
151,A12,0.36,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
7824,A09,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
602,A04,0.2,6.6366,0.000001,3000,30,1,1,1,-10,0,0,0,0,0,0,0,0,0
2709,A04,0.2,300000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
184,A03,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
3253,A04,0.3,1000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1282,A06,0.2,3000000,0.000001,3000,30,1,3,10,17,17.1,17.2,17.3,17.4,17.5,17.6,17.7,17.8,17.9
6182,A06,0.2,3000000,0.000001,10000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
125,A12,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2601,A04,0.25,3000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
6110,A06,0.25,300000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
23092,A05,0.2,3000000,0.000001,30000,3,1,1,10,0,1,2,3,4,0,0,0,0,0
126,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
9651,A01,0.13,130000,0.00001,60000,3,1,4,10,0,2,4,6,7,8,10,12,14,16
24895,A02,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
7721,A09,0.5,500000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
20419,A06,0.13,130000,0.00001,60000,10,1,4,10,20,22,24,26,29,32,35,38,41,45
