runtime,in01,in02,in03,in04,in05
46,150,100,4,0,0
218954,3000,50,-8.8633,-1.5628,0
91124,2000,50,-2.970804,0,0.417519
26519,1000,50,-4.987820251,0.348782369,0
67113,1500,50,-4.987820251,0.348782369,0
69017,1000,50,-5.9088,0,-1.0416
66797,3000,50,-2,0,0
91695,1500,50,-4.962730758,0,-0.609346717
25869,1000,50,-5,0,0
55606,1500,50,-4.962730758,0,0.609346717
22958,1000,50,-8,0,0
1,1000,50,-1.997,0,0.105
48416,2000,20,-8,0,0
35182,1000,50,-4.951340344,-0.695865505,0
20510,1000,50,-1,0,0
56125,2500,50,-3,-0.529,0
183140,1500,50,-0.996,-0.087,0
44685,1000,50,-7.999,0,0.14
224204,1500,50,-1,1,0
36599,1000,50,-2.99,0,0.1046
28797,1000,50,-1,0,0
105252,1500,50,-2.995889,0,-0.157008
43385,1500,50,-0.9848,0,0.1736
4981,2000,50,-2.954423,-0.520945,0
187,1000,50,-2,0,0
54378,2000,50,-2.983565686,0,0.31358539
28748,1000,50,-4.951340344,-0.695865505,0
26533,1000,50,-8,0,0
43746,750,150,-2.819077862,0,1.02606043
46527,2000,50,-10,0,0
65136,1500,50,-4.972609477,0,-0.522642316
78617,1500,50,-0.9848,0,-0.1736
16866,1000,50,-0.9993,0.0348,0
292974,3000,50,-0.9848,0,-0.1736
45625,2000,20,-0.98481,0.173648,0
83031,3000,50,-8.8633,1.5628,0
22799,1000,50,-1,0,0
24837,3000,50,-1,0,0
33782,1000,50,-7,0,0
24544,1500,50,-4.9627,0,-0.60935
171550,2500,50,-2.971,0,0.418
28044,1200,120,-6.893654271,1.215537244,0
136832,2000,50,-3,0,0
15201,400,100,-2,0,0
4545,150,100,4,0,0
25209,1000,50,-8,0,0
5776,150,100,4,0,0
25382,1000,50,-8,0,0
4,1500,50,-2.983566,0,-0.313585
20602,800,80,-2.988584094,0,0.261467228
20993,3000,50,-1,0,0
141820,1000,50,-4.957,0.6526,0
80742,2500,50,-2.984,0,-0.314
29290,1000,25,-4.924038765,0.868240888,0
62093,1500,50,-2,0,0
22765,1000,25,-9,0,0
103594,2000,400,-5,0,0
78639,4000,80,-1,0,0
103228,2500,50,-2.971,0,-0.418
76267,2000,50,-2.992692151,-0.209269421,0
15433,1000,50,-4,0,0
58585,1000,50,-2,0,0
15918,1000,50,-7,0,0
605533,2000,50,-2.983565686,0.31358539,0
146139,2500,50,-2.954,-0.515,0
20256,1000,25,-5,0,0
43255,1000,50,-8,0,0
24388,1000,50,-7,0,0
19519,1000,50,-7,0,0
27117,1000,50,-4.938,0,-0.782
96956,2000,50,-6,0,0
35545,1000,50,-4.9240388,0,-0.8682409
20533,1000,100,-4.98097349,0,-0.435778714
50630,1000,50,-4.987820251,0,-0.348782369
2,1000,50,-8,0,0
46570,2000,20,-0.96126,0,0.275637
120346,1500,50,-2.954423,-0.520945,0
46230,1000,50,-4.987820251,0,-0.348782369
84206,1000,50,-8.991,0,0.3924
2,2000,20,-2.88379,0,-0.826912
64914,2000,50,-4.981,0.436,0
49832,2000,50,-10,0,0
74410,2000,50,-2.954423,-0.520945,0
34753,1000,50,-6,0,0
17019,1000,50,-4.938,0,-0.782
143323,2000,50,-3.978087581,0.418113853,0
48099,1500,50,-0.9848,0.1736,0
34667,1000,50,-4.999,0,0.087
65026,3000,50,-1.997,0.105,0
70597,2000,50,-2.954423,0,-0.520945
17733,1000,50,-3.99026,0.279026,0
28137,1000,25,-4.97261,0,0.52264
39190,1000,50,7.878462024,0,-1.389185421
3994,150,100,4,0,0
84828,4000,80,-5,0,0
243389,5000,50,-5,0,0
30130,1000,50,-4.972609477,0,0.522642316
13163,1500,50,-2.955889,0,-0.157008
16280,1000,25,-4.98097349,0,-0.435778714
45858,2000,20,-0.99452,-0.104528,0
73309,2000,50,-3,0,0
18273,1000,25,-4.957224307,0,0.652630961
79205,1000,50,-4.003,0,0
32994,1500,50,-1,0,0
2775,50,50,1,0,0
48924,1000,50,-2.997,0,0.1308
59904,2000,50,-4.951340344,0,0.695865505
10,150,100,4,0,0
203383,2000,50,-4.981,-0.436,0
25465,1500,50,-7,0,0
20396,3000,50,-1,0,0
78282,1500,50,-9,0,0
47315,1000,50,-7,0,0
92284,1000,50,-4.924,0,0.868
97490,2000,50,-8,0,0
44499,2500,50,-3,-0.21,0
110201,1500,50,-2.988584,0,0.261467
76911,1000,50,-2,0,0
15709,1000,50,-5,0,0
98360,2000,50,-4.981,-0.436,0
34773,3000,50,1,9,0
124955,1000,50,-1,0,0
22902,1000,50,-10,0,0
64808,2000,50,-2.970804,0.417519,0
70965,2000,50,-2.998172,0,0.104698
31846,1000,50,-7.96956,0,0.697246
40723,1000,50,-4.993,0,0.262
90141,1500,50,-2.983566,0.313585,0
57198,2000,50,-2.970804206,0,-0.417519303
139366,1500,50,-1,0,0.176
61605,2000,50,-1,0,0
25229,2000,50,-2.983565686,0.31358539,0
1,1000,50,-1,0,0
8421,150,100,2,0,0
176,1000,50,-4,0,0
118261,1000,25,-4.995241108,0,0.218096937
34787,1000,50,-0.9961,0,0.0871
75807,2500,50,-5,0,0
38605,1000,50,-9,0,0
145,3000,50,-10,0,0
24914,1000,50,-3,0,0.42
40399,1000,50,-2.97,0.417,0
112367,2000,50,-4.98097349,0,-0.435778714
70305,2000,50,-2.95,0,0.52
1,1000,50,-1.997,0,0.105
3542,1000,50,3,0,0
35176,3000,50,-1,-5,0
186097,3000,50,-1,0,0
46222,1000,50,-5,0,0
4234,100,50,-5,0,0
30197,1000,50,-4.987820251,0,0.348782369
563387,1000,50,-3,0,0.1
44528,1000,50,-8.998,0,0
60730,1500,50,-4.951340344,0.695865505,0
66343,1000,50,2.97,0,0.417
20195,1000,50,-7,0,0
35847,1500,50,-3.99756,0,0.139597
110788,1500,50,-3.978087,0,0.418113
53005,2500,50,-2.971,0.414,0
133471,2000,50,-4.924,0.868,0
21534,1000,50,-4.993147674,0,0.261679781
54249,3000,50,1,3,0
22256,1000,25,-4.97261,0,-0.52264
165132,1000,50,-6,0,0
117617,2000,50,-10,0,0
32299,1000,50,-4.996954,0,0.174497
75872,2000,50,-7,0,0
24511,800,80,-2.988584094,0.261467228,0
2,150,50,-1,0,0
208,2000,50,-6,0,0
62151,3000,50,-2.96,0.468,0
65975,1500,50,-2.998172481,0,-0.10469849
142076,2000,50,-9,0,0
539639,1000,50,-7.94,0,-0.975
27100,1000,50,-7.989036278,0,0.41868765
35690,1000,50,-1,0,0
37076,1000,50,-0.9848,-0.1736,0
67448,2000,50,-2.98,0.26,0
35973,2000,25,-5,0,0
45489,1500,50,-0.9848,-0.1736,0
21592,3000,50,-1,0,0
69273,2000,50,-0.996,0,-0.087
67879,1400,350,-6.893654271,1.215537244,0
60041,1000,25,-4.98097349,-0.435778714,0
13746,1500,50,-2.998172,-0.104698,0
80132,2000,50,-2.970804,0,0.417519
119790,1500,50,-2.983566,0.313585,0
2,1000,50,-1,0,0
2661,2000,50,-5,0,0
93687,3000,50,-2.96,-0.468,0
76000,2000,50,-6,0,0
94100,2000,50,-4.924,0,-0.868
3515,150,100,4,0,0
3569,1000,50,3,0,0
206208,2000,50,-4.924,-0.868,0
96388,2000,50,-5,0,0
71943,2000,50,-4.981,-0.436,0
99145,1000,50,-7.989036,0,-0.418688
91144,2000,50,-9.962,-0.276,0
54366,1000,25,-7,0,0
194825,3000,50,-1,0,0
194284,10000,50,-1,0,0
25167,1000,50,-5,0,0
403,3000,50,-8.8633,-1.5628,0
34246,1200,120,-6.973362887,0,-0.610090199
180249,3000,50,-5,0,0
24921,1000,50,-4.995,-0.218,0
45676,1000,50,-3,0,0
222136,3000,50,-8.8633,0,1.5628
144722,1500,50,-1,0,0
60912,1200,120,-0.984807753,0.173648178,0
75862,1000,50,-4.951340344,-0.695865505,0
545929,1000,50,-4.963,0,0.609
59333,1000,50,-4,0,0
101600,2000,50,-4.962730758,-0.609349717,0
51710,1500,50,-4.987820251,0,0.348782369
34061,1500,50,-1,0,0
35784,2000,50,-10,0,0
38668,1500,50,-2.954423,0,-0.520945
48330,1000,50,-3.002,0,0
33821,1000,50,-9,0,0
90295,1000,50,-4.987820251,-0.348782369,0
25945,1000,50,-6,0,0
29877,1000,50,-9,0,0
18401,1000,50,-1.997,0,-0.105
46680,2000,50,-10,0,0
59751,1000,50,-8.9226,0,1.1745
6764,100,20,4,0,0
17081,1000,50,-4,0,0
23137,1000,50,-9,0,0
78033,2000,50,-2.99,0,-0.13
27706,1000,50,-7,0,0
29577,1000,50,-4.987820251,-0.348782369,0
54991,2000,20,-7,0,0
55171,1500,50,-2.954423259,0.520944533,0
26368,1000,50,-8,0,0
17835,1000,50,-2,0,0
16073,1000,50,-4.938441703,0,0.782172352
95577,4000,80,-4.981,0.436,0
45638,2000,20,-0.99452,0.104528,0
29676,1000,50,-7.989036278,0,0.41868765
32405,500,100,-0.939692621,0,0.342020143
24666,1000,50,-5,0,0
97766,3000,50,-5.99,0,0.32
40008,1000,50,-4.996954,-0.174497,0
3,1000,25,-10,0,0
62535,1000,50,-1.992,0,-0.174
36775,1000,50,-9,0,0
61126,1000,25,-9.8481,0,1.7365
49587,1000,50,-2.973,0,0.392
24432,1000,50,-4.938441703,0,0.782172325
70722,2000,50,-4.981,0,-0.436
73044,1500,50,-2.998172,0,0.104698
50714,1500,50,-4.951340344,0,-0.695865505
8198,150,100,4,0,0
44994,3000,50,4,0,0
16294,1000,50,-1,0,0
1,2000,20,-0.96126,0.275637,0
115920,1500,50,-4.9627,0,0.60935
50913,1000,50,-5.99,0,0.32
53557,1000,50,-0.9848,0,-0.1736
19744,1000,50,-3,0,0
14684,1000,25,-4.98097349,0.435778714,0
95530,4000,80,-0.996,0,-0.087
54379,2000,50,-2.992692151,0.209269421,0
79,4000,80,-0.996,0.087,0
120574,1000,50,-4,0,0
56197,2000,50,-2.954423259,0,-0.520944533
53953,1000,50,-4.993147674,0,0.261679781
92721,3000,100,-1.701973113,0,5.753545648
36346,1000,50,-7,0,0
26272,1500,50,-3,0,0
117906,1500,50,-5,0,0
34666,1000,50,-8.9658,0,-0.7848
73341,1000,50,-4.924,0.868,0
44307,1000,50,-5.997,0,0
64982,3000,50,-4,0,0
48197,1500,50,-2.954423259,0.520944533,0
37899,1000,50,-8.8632,0,1.5624
205591,2000,50,-6,0,0
21722,3000,300,-4,0,-0.5
19794,1000,50,-10,0,0
50324,1500,50,-4.987820251,0,-0.348782369
1,1000,50,-7.902,0,1.251
132945,2000,50,-0.996,0,0.087
48931,1000,50,-4.987820251,-0.348782369,0
176385,1500,50,-10,0,0
62257,1000,50,-4,0,0
50440,1500,20,-2,0,0
17084,1000,50,-8,0,0
19992,1000,25,-3,0,0
18346,1000,50,-4.972609477,0,-0.522642316
50943,3000,50,1,7,0
96,1000,50,-5,0,0
38020,2000,50,-4.951340344,-0.695865505,0
4314,150,100,4,0,0
31193,1000,50,-2.954423259,-0.520944533,0
12513,1500,50,-8,0,0
55267,1000,50,-1,0,0
176458,2000,50,-2,0,0
155,1000,50,-1,0,0
51403,1500,50,-4.972609477,-0.522642316,0
13835,4000,80,-9.848,1.736,0
80018,2000,50,-5,0,0
37547,1000,50,-7.97,0,-0.697
30062,1000,50,-1,0,0
22607,1200,120,-6.893654271,0,1.215537244
50838,1500,50,-4.924038765,0,-0.868240888
151,3000,50,-7.969558,0,-0.697246
40532,600,60,-0.984807753,0,-0.173648178
12597,1500,50,-6,0,0
67745,2000,50,-4.924,0,0.868
96154,1000,50,-7.969558,0,-0.697246
121221,5000,50,-4,0,0
25844,1000,50,-4,0,0
26000,1000,50,-7,0,0
107906,2500,50,-2.984,0,0.314
2,1000,50,-7.989,0,-0.419
48583,1000,50,-4,0,0
100226,2500,50,-4,0,0
21331,1000,50,-4.9572243,0,0.652631
241037,5000,50,-6,0,0
130887,2500,50,-2.971,-0.414,0
56556,1000,50,-8.9658,0,0.7848
24939,2000,50,-2.970804206,0.417519303,0
46610,2500,50,-3,-0.315,0
18837,1000,50,-5.9088,0,-1.0416
136358,2000,50,-3,0,0
11856,400,100,-0.984807753,0.173648178,0
32,2000,50,-3,0,0
88498,1000,50,-4.987820251,0,0.348782369
23067,1000,50,-1,0,0
62685,2000,50,-0.996,0,0.087
107151,1000,50,-4.98,0,-0.4357
205144,2000,50,-8,0,0
62981,2000,50,-2.954423,0.520945,0
21555,1000,50,-1,0,0
73,1000,50,-1,0,0
20152,600,60,-1,0,0
126013,2500,50,-9,0,0
16832,1000,50,-3.96107,0,-0.556692
79851,2000,50,-2.970804,0.417519,0
12,1000,50,-1,0,0
43293,1000,50,-2.99,0.16,0
44389,3000,50,4,0,0
103810,4000,80,-4.981,0,-0.436
112054,1500,50,-2.977638,0,0.365608
44086,1000,50,-2,0,-0.035
37151,2000,50,-4.987820251,0,-0.348782369
13540,1500,50,-2.998172,0.104698,0
27185,1000,50,-3,0,0
33006,1000,50,-4.987820251,0,0.348782369
260376,1500,50,-1,1,1
141534,2000,50,-5,0,0
17529,1000,50,-0.9993,0,-0.0348
29387,1000,50,-4,0,0
40567,2000,50,-9,0,0
64968,3000,50,-1.992,0.175,0
47070,2000,20,-1,0,0
54603,1000,50,-1.975,0,0.313
31650,2500,50,-4,0,0
138302,2000,50,-3,0,0
2,1000,50,-1,0,0
34483,1000,50,-1.997,0,0.105
36894,1000,50,-4.951340344,0,-0.695865505
79383,2000,50,-3,0,0
51353,2000,20,-9,0,0
95329,2500,50,-3,-0.105,0
39874,1000,50,-4.996954,0.174497,0
34882,1000,50,-2.97,0,0.417
348770,3000,50,4.98097349,0.435778714,0
96159,2000,50,-4.951340344,0,-0.695865505
51097,1000,50,-2.989,0,0.262
4,5000,50,-6,0,0
85214,1000,50,-9,0,0
71311,1500,50,-2.998172,-0.104698,0
16254,1000,50,-8,0,0
100655,1500,50,-3,0,0
2,1500,50,-2.992692,-0.209269,0
192640,3000,50,-4.981,0.4358,0
60870,2000,50,-2.998172,0,-0.104698
16062,1500,50,-7,0,0
60665,1500,50,-1,0,0
211483,3000,50,-2.968,0,0.468
58194,2000,50,-1,0,0
2,4000,80,-9.848,0,1.736
4,3000,50,-1,0,0
32224,1000,50,-5,0,0
6770,150,100,4,0,0
144,1000,50,-1,0,0
135,1500,50,-2.983565686,0.31358539,0
226079,2000,50,-0.985,0.174,0
129767,3000,100,-5.977168189,0,-0.522934456
93730,3000,50,-2.998,0,0.16
20892,1000,50,-3,0,0
27648,1000,50,-7.902,0,1.251
12484,1500,50,-10,0,0
39709,1500,50,-2.983566,-0.313585,0
9184,300,50,-3,0,0
20239,1000,50,-9,0,0
65216,1000,50,-4.938,0,-0.782
36013,2500,50,-3,0,0
39811,2000,50,-2.970804,0,0.417519
3,2000,50,-5,0,0
85339,1000,50,-3,0,0
18555,800,80,-4,0,0
9,80,100,4,0,0
36158,1000,50,-4,0,0
86724,1000,200,-4.698463104,0,1.710100717
17353,1000,50,-0.9993,-0.0348,0
79902,2000,50,-3.990256201,0.279025895,0
62513,3000,50,-4,0,0
14831,1000,25,-5,0,0
104240,2500,50,-2.993,0,0.209
74146,1000,50,-1,0,0
220050,2000,50,-9,0,0
44317,1000,50,-9,0,0
7096,150,100,4,0,0
61255,1200,120,-4.924038765,0,-0.868240888
120502,2000,50,-3.997563308,0.139597987,0
76418,1000,50,-4.957,0,0.6526
19229,1000,50,-4.993147674,0,0.261679781
20335,1500,50,-2,0,0
46364,2000,20,-0.96126,0,-0.275637
7999,150,100,4,0,0
23983,1000,50,-4.973,0,-0.523
210696,3000,50,-2.998,0,0.2163
46237,2000,20,-0.93969,0,-0.34202
21472,1000,25,-1,0,0
35775,1000,50,-7.989,0,-0.419
41856,2000,400,-6,0,0
162,1000,50,-2.954423259,0.520944533,0
74340,2000,50,-4.981,0,-0.436
49722,1500,50,-2.983566,0,-0.313585
233445,3000,50,-0.9848,-0.1736,0
199839,5000,50,-3,0,0
54955,1500,50,-4.972609477,0,0.522642316
119341,2000,50,-1,0,0
49648,1500,50,-4.996954135,0,0.174497484
33386,2000,50,-8,0,0
111938,4000,80,-1,0,0
100736,4000,80,-0.985,0,0.174
2,1000,50,-1,0,0
21635,1000,25,-4.92404,0,0.86824
12166,1500,50,-2.998172,0,-0.104698
33357,1000,50,-4,0,0
120931,2000,50,-2.983566,0,-0.313585
45936,1000,50,-4.972609,0,0.522642
297866,3000,50,-0.9962,0,0.0872
220951,3000,50,-8.9658,-0.7844,0
18181,1000,50,-3.99026,-0.279026,0
19552,1000,50,-9,0,0
150530,3000,50,4.962730758,0.609346717,0
24353,1000,25,-4.957224307,0.652630961,0
6157,150,100,4,0,0
17852,750,150,-2.819077862,1.02606043,0
49098,3000,50,-1,-9,0
28826,1000,50,-4.951340344,0,0.695865505
16558,600,60,-3,0,0
122448,2000,50,-2.983566,-0.313585,0
2,1000,50,-7.956,0,-0.836
142348,2000,50,-5,0,0
45627,2000,20,-0.96126,-0.275637,0
65297,3000,50,-2.977,-0.26,-0.26
10058,1000,50,-7,0,0
10788,200,100,1,0,0
25369,1000,50,-1.997,0,0.105
11524,4000,80,-9.848,-1.736,0
34754,3000,50,-1,3,0
19217,1000,50,-4.972609477,0,0.522642316
131282,2000,50,-0.985,-0.174,0
50074,1000,50,-1,0,0
93631,2000,50,-2,0,0
78827,1000,50,-2,0,0
177247,2000,50,-2.998172481,0.10469849,0
62658,1000,50,-8.9226,0,-1.1745
8473,200,50,4,0,0
93353,2500,50,-2.971,0,0.418
9614,400,100,-2.954423259,0.520944533,0
3807,150,100,4,0,0
138416,3000,100,-5.908846518,1.041889066,0
2,1000,50,-1,0,0
8117,150,100,4,0,0
53118,1000,50,-2.997,0,-0.1308
