runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
20,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
21,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
12,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
14,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
135,10000000,10000000,10000,100000,0.1,1,50,50,1,0.888,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
24,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
14,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
19,10000000,10000000,10000,100000,0.1,1,50,50,1,0.2,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
73,5000000,5000000,10000,1000000,0.1,1,50,50,1,0.7,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
18,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.47,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
23,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
25,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
14,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
354,10000000,10000000,10000,500000,0.1,1,50,50,30,0.8,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
48,10000000,10000000,10000,100000,0.1,1,50,50,1,0.4,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
16,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
2,1000000,100000,10000,10000,0.1,0.5,20,20,1,0.1,1
15,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
90,10000000,10000000,10000,100000,0.1,1,50,50,6,0.6,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
12,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
26,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
22,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
19,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
15,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
3,12345,13579,1001,1002,0.1,0.5,20,20,1,0.6,1.1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
2,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
102,10000000,10000000,10000,500000,0.1,1,50,50,0.1,0.8,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
196,10000000,10000000,10000,100000,0.1,1,50,50,1.1,0.6,1
99,10000000,10000000,10000,100000,0.1,1,50,50,0.14,0.6,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
18,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
2,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
25,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
19,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
58,5000000,5000000,10000,1000000,0.1,1,50,50,1,0.6,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
12,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
20,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
57,20000000,20000000,10000,100000,0.1,1,50,50,1,0.5,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
32,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
121,10000000,10000000,10000,500000,0.1,1,50,50,7,0.8,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
12,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
15,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
2,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
15,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
12,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
18,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
14,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
20,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
15,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
16,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
15,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
18,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.78,1
100,10000000,10000000,10000,500000,0.1,1,50,50,10,0.8,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
14,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
37,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
16,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
16,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.8,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
18,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,1000000,100000,10000,10000,0.1,0.5,30,30,1,0.1,1
22,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
25,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
20,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
16,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
12,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
9,100000,100000,1000,1000,0.1,0.5,20,20,1,0.8,1
2,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
3,100000,100000,1000,1000,0.1,0.5,20,20,2,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
11,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
114,10000000,10000000,10000,100000,0.1,1,50,50,0.115,0.6,1
8,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
174,10000000,10000000,10000,100000,0.1,1,50,50,1,0.85,1
18,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
91,10000000,10000000,10000,100000,0.1,1,50,50,0.12,0.6,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
16,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
332,10000000,10000000,10000,500000,0.1,1,50,50,50,0.8,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
16,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
2,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
3,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
87,10000000,10000000,10000,100000,0.1,1,50,50,1,0.7,1
198,10000000,10000000,10000,100000,0.1,1,50,50,1.3,0.6,1
4,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
93,10000000,10000000,10000,100000,0.1,1,50,50,0.6,0.6,1
20,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.5,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
5,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
7,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
13,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
12,100000,100000,1000,1000,0.1,0.5,20,20,1,0.3,1
17,100000,100000,1000,1000,0.1,0.5,20,20,1,0.7,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.1,1
6,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
10,100000,100000,1000,1000,0.1,0.5,20,20,1,0.9,1
